model,seed,pollutant,horizon,RMSE,MAE,R2,sMAPE,n
gru,42.0,PM2.5,6,51.760223388671875,31.229419708251953,0.5990842256964081,57.06098175048828,4282
gru,42.0,PM2.5,24,76.0699234008789,52.16035842895508,0.2834404740130322,65.4776611328125,4295
gru,42.0,PM2.5,72,84.99825286865234,61.22932434082031,0.10221293559475231,74.71092987060547,4294
gru,42.0,PM10,6,61.45184326171875,36.650482177734375,0.5468707430082804,48.964359283447266,4295
gru,42.0,PM10,24,92.08260345458984,61.86087417602539,0.22362055713494822,58.23610305786133,4310
gru,42.0,PM10,72,100.49022674560547,71.67605590820312,0.07515817323305918,65.51400756835938,4309
gru,42.0,NO2,6,22.562292098999023,16.85871696472168,0.5129806784899748,41.39796829223633,4083
gru,42.0,NO2,24,30.84534454345703,23.684139251708984,0.3234327802330609,47.337684631347656,4295
gru,42.0,NO2,72,32.90421676635742,25.595458984375,0.22020366024867954,49.8432502746582,4294
gru,42.0,O3,6,23.287738800048828,17.076946258544922,0.3533305309251501,83.08395385742188,4211
gru,42.0,O3,24,31.271448135375977,24.34602928161621,0.4401108010113618,75.35639190673828,4238
gru,42.0,O3,72,33.52593231201172,26.340438842773438,0.35532884017784194,76.9280014038086,4237
gru,42.0,CO,6,894.97412109375,486.90350341796875,0.5251139354638246,40.21690368652344,4238
gru,42.0,CO,24,1124.7108154296875,688.482421875,0.30887682258495175,51.04835510253906,4265
gru,42.0,CO,72,1231.373779296875,777.748046875,0.16847382536989008,57.08476257324219,4264
gru,42.0,SO2,6,9.311871528625488,5.841060161590576,0.46888589022435867,72.81122589111328,3414
gru,42.0,SO2,24,12.639127731323242,8.549358367919922,0.1394389900729247,76.59142303466797,3453
gru,42.0,SO2,72,13.577998161315918,10.126898765563965,-0.014123070536873561,80.1598129272461,3452
gru,43.0,PM2.5,6,51.99700164794922,31.702472686767578,0.5954078345106046,59.8520622253418,4282
gru,43.0,PM2.5,24,75.64692687988281,51.40709686279297,0.2913875131268572,65.28890991210938,4295
gru,43.0,PM2.5,72,84.3785629272461,60.57970428466797,0.11525597699470269,74.01615905761719,4294
gru,43.0,PM10,6,61.455413818359375,37.23664093017578,0.5468181085708756,51.265018463134766,4295
gru,43.0,PM10,24,92.20011901855469,61.63022232055664,0.22163770295171992,58.559574127197266,4310
gru,43.0,PM10,72,99.86881256103516,70.44432067871094,0.08656092878846355,64.92237091064453,4309
gru,43.0,NO2,6,22.672548294067383,16.994468688964844,0.5082091726648417,44.14086151123047,4083
gru,43.0,NO2,24,30.498952865600586,23.308975219726562,0.33854302955989424,46.32176971435547,4295
gru,43.0,NO2,72,32.72805404663086,25.459442138671875,0.2285310530720963,49.71157455444336,4294
gru,43.0,O3,6,22.99953269958496,17.545494079589844,0.3692377133538526,82.66775512695312,4211
gru,43.0,O3,24,31.394168853759766,24.30315589904785,0.4357077590902093,74.58737182617188,4238
gru,43.0,O3,72,33.54219055175781,26.24432945251465,0.3547034371177529,78.2646484375,4237
gru,43.0,CO,6,887.7265625,483.6195068359375,0.5327740974571442,40.4835205078125,4238
gru,43.0,CO,24,1116.5772705078125,679.737060546875,0.31883662826858794,50.20527267456055,4265
gru,43.0,CO,72,1224.7647705078125,778.2006225585938,0.17737568211285593,56.99877166748047,4264
gru,43.0,SO2,6,9.426241874694824,6.142127513885498,0.4557592449644787,69.76403045654297,3414
gru,43.0,SO2,24,13.871641159057617,9.583822250366211,-0.03658079972386341,76.03617858886719,3453
gru,43.0,SO2,72,13.32175350189209,9.633711814880371,0.023792943962259838,75.30656433105469,3452
gru,44.0,PM2.5,6,50.5654411315918,29.79155921936035,0.6173792326219241,55.899227142333984,4282
gru,44.0,PM2.5,24,75.986328125,51.05449676513672,0.28501454362360534,63.829429626464844,4295
gru,44.0,PM2.5,72,85.25051879882812,61.2443962097168,0.09687585154535872,74.9874267578125,4294
gru,44.0,PM10,6,61.446678161621094,36.27705001831055,0.5469469567796397,46.765052795410156,4295
gru,44.0,PM10,24,91.8451919555664,61.14605712890625,0.22761881170660658,57.479888916015625,4310
gru,44.0,PM10,72,100.49817657470703,71.2320556640625,0.07501177478784127,65.41912841796875,4309
gru,44.0,NO2,6,21.84738540649414,15.893632888793945,0.5433550098277631,39.01148986816406,4083
gru,44.0,NO2,24,30.20687484741211,22.875816345214844,0.3511514673985523,45.88087844848633,4295
gru,44.0,NO2,72,32.431941986083984,24.857511520385742,0.24242782070786273,48.69719696044922,4294
gru,44.0,O3,6,22.95641326904297,17.339595794677734,0.3716005285592908,82.88191986083984,4211
gru,44.0,O3,24,31.464385986328125,24.554899215698242,0.4331807392187499,75.17510986328125,4238
gru,44.0,O3,72,33.12078857421875,26.33102798461914,0.3708157557170233,77.49513244628906,4237
gru,44.0,CO,6,829.0195922851562,463.26763916015625,0.5925277302591547,41.495361328125,4238
gru,44.0,CO,24,1101.963623046875,677.311279296875,0.3365499892665178,50.4859733581543,4265
gru,44.0,CO,72,1213.992919921875,764.1776733398438,0.1917821163458835,56.32680130004883,4264
gru,44.0,SO2,6,9.505257606506348,5.580774307250977,0.4465968097937171,64.2515869140625,3414
gru,44.0,SO2,24,12.624993324279785,8.456217765808105,0.1413626839083093,70.05989074707031,3453
gru,44.0,SO2,72,11.640475273132324,8.066873550415039,0.2546494947253606,69.62921905517578,3452
gru_d,42.0,PM2.5,6,50.03824234008789,29.567758560180664,0.6253161249792675,52.384334564208984,4282
gru_d,42.0,PM2.5,24,75.57012939453125,50.708797454833984,0.2928254993510667,64.76579284667969,4295
gru_d,42.0,PM2.5,72,84.35540008544922,60.051856994628906,0.11574169788854949,73.90731811523438,4294
gru_d,42.0,PM10,6,60.36659622192383,36.557456970214844,0.5627341031147741,51.08235549926758,4295
gru_d,42.0,PM10,24,91.70072937011719,60.781959533691406,0.23004652067894948,57.614864349365234,4310
gru_d,42.0,PM10,72,99.65877532958984,69.7232437133789,0.09039908454212653,64.45066833496094,4309
gru_d,42.0,NO2,6,22.034454345703125,16.26791763305664,0.5355014689802475,40.81999588012695,4083
gru_d,42.0,NO2,24,30.623083114624023,23.26651954650879,0.3331478453328093,46.81344985961914,4295
gru_d,42.0,NO2,72,32.66323471069336,24.884981155395508,0.23158394401775273,48.92791748046875,4294
gru_d,42.0,O3,6,22.223155975341797,16.529150009155273,0.4111032634557714,80.23845672607422,4211
gru_d,42.0,O3,24,31.290164947509766,24.29775047302246,0.4394403830211122,74.04090881347656,4238
gru_d,42.0,O3,72,33.0537223815918,26.18986701965332,0.37336122739276234,76.72836303710938,4237
gru_d,42.0,CO,6,823.5921630859375,457.8017272949219,0.5978455422828121,39.189857482910156,4238
gru_d,42.0,CO,24,1099.82080078125,671.0203857421875,0.33912773027418486,49.997459411621094,4265
gru_d,42.0,CO,72,1210.56103515625,761.3799438476562,0.19634538303349014,55.72002410888672,4264
gru_d,42.0,SO2,6,9.223414421081543,5.349290370941162,0.47892850719283286,60.571502685546875,3414
gru_d,42.0,SO2,24,12.825267791748047,8.382096290588379,0.1139049259003938,70.50355529785156,3453
gru_d,42.0,SO2,72,13.467415809631348,9.642627716064453,0.0023282829107739156,74.3678207397461,3452
gru_d,43.0,PM2.5,6,50.317909240722656,29.611675262451172,0.6211161526156308,54.40142059326172,4282
gru_d,43.0,PM2.5,24,76.54353332519531,51.96269607543945,0.27449016589948694,64.98391723632812,4295
gru_d,43.0,PM2.5,72,84.70552825927734,61.14898681640625,0.10838596660194244,74.66925048828125,4294
gru_d,43.0,PM10,6,60.92451477050781,36.66715621948242,0.5546141515786867,49.81559371948242,4295
gru_d,43.0,PM10,24,92.09330749511719,61.82640838623047,0.22344006590819,58.036720275878906,4310
gru_d,43.0,PM10,72,100.30363464355469,70.38777160644531,0.07858943992817802,64.73607635498047,4309
gru_d,43.0,NO2,6,22.152063369750977,16.270408630371094,0.5305296822815453,40.27559280395508,4083
gru_d,43.0,NO2,24,30.810911178588867,23.062597274780273,0.32494244339352973,46.461387634277344,4295
gru_d,43.0,NO2,72,33.07151794433594,25.032367706298828,0.21225374839186906,49.456634521484375,4294
gru_d,43.0,O3,6,22.593162536621094,17.071773529052734,0.39133025143944344,82.01255798339844,4211
gru_d,43.0,O3,24,31.504413604736328,24.41468620300293,0.4317376349423072,74.85375213623047,4238
gru_d,43.0,O3,72,32.99483108520508,26.24444580078125,0.37559217006198253,77.25724792480469,4237
gru_d,43.0,CO,6,827.0885620117188,457.7527160644531,0.5944237716647853,37.9936408996582,4238
gru_d,43.0,CO,24,1106.9366455078125,689.8062744140625,0.33054835599323473,51.5759162902832,4265
gru_d,43.0,CO,72,1204.73681640625,764.3733520507812,0.20405971973368053,56.08328628540039,4264
gru_d,43.0,SO2,6,9.16144847869873,5.62732458114624,0.4859063826103571,63.99644088745117,3414
gru_d,43.0,SO2,24,13.279958724975586,9.275115966796875,0.04996221646504073,73.71272277832031,3453
gru_d,43.0,SO2,72,13.788575172424316,10.215953826904297,-0.04582239637258745,78.34349822998047,3452
gru_d,44.0,PM2.5,6,50.0933837890625,29.26068878173828,0.624489864814569,48.755313873291016,4282
gru_d,44.0,PM2.5,24,75.48834991455078,51.4071044921875,0.29435516887371627,64.67027282714844,4295
gru_d,44.0,PM2.5,72,85.25592041015625,61.14493942260742,0.09676148256463413,75.0339126586914,4294
gru_d,44.0,PM10,6,60.099185943603516,36.39451217651367,0.5665994655648972,45.79185104370117,4295
gru_d,44.0,PM10,24,91.33647155761719,61.459442138671875,0.23615135599982495,57.95500183105469,4310
gru_d,44.0,PM10,72,100.94976043701172,71.84506225585938,0.06668041100385802,65.86421966552734,4309
gru_d,44.0,NO2,6,21.628826141357422,15.887785911560059,0.5524457932405469,39.29679870605469,4083
gru_d,44.0,NO2,24,30.81749153137207,23.37480926513672,0.3246540291445744,46.64299011230469,4295
gru_d,44.0,NO2,72,33.206825256347656,25.80575942993164,0.20579472281440947,50.16115951538086,4294
gru_d,44.0,O3,6,22.016319274902344,16.4851016998291,0.4220142141276768,78.96345520019531,4211
gru_d,44.0,O3,24,31.35759925842285,24.12395477294922,0.4370216094800684,75.95657348632812,4238
gru_d,44.0,O3,72,33.186492919921875,26.20699691772461,0.36831698621784925,76.95355987548828,4237
gru_d,44.0,CO,6,809.7315673828125,458.8672790527344,0.6112677476774371,38.532997131347656,4238
