dataset,horizon,member,coef,intercept,alpha
Dhaka,24,gru_d_s43,0.060822341513001074,-0.011696363426251688,21.54434690031882
Dhaka,24,gru_d_s44,0.0389453998718272,-0.011696363426251688,21.54434690031882
Dhaka,24,proposed_s42,0.21581285096275532,-0.011696363426251688,21.54434690031882
Dhaka,24,hybrid8_transformer_s42,0.10006640255574141,-0.011696363426251688,21.54434690031882
Dhaka,24,hybrid8_transformer_s43,0.009912702201142052,-0.011696363426251688,21.54434690031882
Dhaka,24,hybrid8_transformer_s44,0.019138875309181732,-0.011696363426251688,21.54434690031882
Dhaka,24,hybrid8_masked_transformer_s42,0.10006640255574141,-0.011696363426251688,21.54434690031882
Dhaka,24,hybrid8_masked_transformer_s43,0.009912702201142052,-0.011696363426251688,21.54434690031882
Dhaka,24,hybrid8_masked_transformer_s44,0.019138875309181732,-0.011696363426251688,21.54434690031882
Dhaka,24,hybrid8_masked_variant_B_s42,-0.013543967454434511,-0.011696363426251688,21.54434690031882
Dhaka,24,hybrid8_masked_variant_B_s43,-0.10256174316727275,-0.011696363426251688,21.54434690031882
Dhaka,24,hybrid8_masked_variant_B_s44,-0.11972756883179071,-0.011696363426251688,21.54434690031882
Dhaka,24,hybrid8_masked_proposed_md_s42,-0.07751934482244591,-0.011696363426251688,21.54434690031882
Dhaka,24,hybrid8_masked_proposed_md_s43,0.15277490070083063,-0.011696363426251688,21.54434690031882
Dhaka,24,hybrid8_masked_proposed_md_s44,0.2612734035666964,-0.011696363426251688,21.54434690031882
Dhaka,72,persistence,0.03247053277424098,0.10059063283664049,100.0
Dhaka,72,seasonal_naive,0.10839503555829669,0.10059063283664049,100.0
Dhaka,72,dlinear_s42,-0.002157591397376362,0.10059063283664049,100.0
Dhaka,72,dlinear_s43,-0.04239214911828128,0.10059063283664049,100.0
Dhaka,72,dlinear_s44,0.08044503971770461,0.10059063283664049,100.0
Dhaka,72,gru_d_s42,0.07510645069804747,0.10059063283664049,100.0
Dhaka,72,gru_d_s43,0.11615811669775017,0.10059063283664049,100.0
Dhaka,72,gru_d_s44,-0.01726993130504216,0.10059063283664049,100.0
Dhaka,72,proposed_s42,0.17530801100545979,0.10059063283664049,100.0
Dhaka,72,hybrid8_transformer_s42,0.08454810242444157,0.10059063283664049,100.0
Dhaka,72,hybrid8_transformer_s43,0.0007804452515064774,0.10059063283664049,100.0
Dhaka,72,hybrid8_transformer_s44,0.11342292556999421,0.10059063283664049,100.0
Dhaka,72,hybrid8_masked_transformer_s42,0.08454810242444157,0.10059063283664049,100.0
Dhaka,72,hybrid8_masked_transformer_s43,0.0007804452515064774,0.10059063283664049,100.0
Dhaka,72,hybrid8_masked_transformer_s44,0.11342292556999421,0.10059063283664049,100.0
Dhaka,72,hybrid8_masked_variant_B_s42,-0.00348518518751943,0.10059063283664049,100.0
Dhaka,72,hybrid8_masked_variant_B_s43,-0.020388406658001068,0.10059063283664049,100.0
Dhaka,72,hybrid8_masked_variant_B_s44,-0.015579832364163054,0.10059063283664049,100.0
Dhaka,72,hybrid8_masked_proposed_md_s42,-0.04248024271524203,0.10059063283664049,100.0
Dhaka,72,hybrid8_masked_proposed_md_s43,0.025345461441234677,0.10059063283664049,100.0
Dhaka,72,hybrid8_masked_proposed_md_s44,0.028544708908848575,0.10059063283664049,100.0
