candidate,horizon,seeds,RMSE_mean,RMSE_std,MAE_mean
validation_h6_rrelu_d64_a1000_g0,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d64_a1000_g0,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d64_a1000_g2,6,3,66.26481374104817,0.4092587704084242,32.778219858805336
validation_h6_rrelu_d64_a1000_g2,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d64_a1000_g2,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d64_a100_g0,6,3,67.0079574584961,0.6305342505307626,33.53818893432617
validation_h6_rrelu_d64_a100_g0,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d64_a100_g0,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d64_a100_g2,6,3,66.82817840576172,0.7392834882311922,33.43791198730469
validation_h6_rrelu_d64_a100_g2,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d64_a100_g2,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d64_a10_g0,6,3,67.77737681070964,1.0554358242229467,34.439257303873696
validation_h6_rrelu_d64_a10_g0,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d64_a10_g0,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d64_a10_g2,6,3,67.55499267578125,1.1345799797145006,34.32769521077474
validation_h6_rrelu_d64_a10_g2,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d64_a10_g2,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
