candidate,seed,horizon,RMSE,MAE
validation_h6_rrelu_d64_a100_g2,44,6,67.66436004638672,34.54401779174805
validation_h6_rrelu_d64_a100_g2,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d64_a100_g2,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d64_a1000_g0,42,6,66.54643249511719,32.57917785644531
validation_h6_rrelu_d64_a1000_g0,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d64_a1000_g0,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d64_a1000_g0,43,6,65.97034454345703,33.46953582763672
validation_h6_rrelu_d64_a1000_g0,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d64_a1000_g0,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d64_a1000_g0,44,6,66.26055145263672,33.75062561035156
validation_h6_rrelu_d64_a1000_g0,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d64_a1000_g0,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d64_a1000_g2,42,6,66.44357299804688,32.18456268310547
validation_h6_rrelu_d64_a1000_g2,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d64_a1000_g2,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d64_a1000_g2,43,6,65.79658508300781,32.50517654418945
validation_h6_rrelu_d64_a1000_g2,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d64_a1000_g2,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d64_a1000_g2,44,6,66.55428314208984,33.644920349121094
validation_h6_rrelu_d64_a1000_g2,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d64_a1000_g2,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d128_a10_g0,42,6,68.10533905029297,35.114933013916016
validation_h6_rrelu_d128_a10_g0,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d128_a10_g0,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d128_a10_g0,43,6,67.69893646240234,34.41525650024414
validation_h6_rrelu_d128_a10_g0,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d128_a10_g0,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d128_a10_g0,44,6,67.76011657714844,35.04785919189453
validation_h6_rrelu_d128_a10_g0,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d128_a10_g0,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d128_a10_g2,42,6,68.52738189697266,35.653743743896484
