model,label,seed,horizon,RMSE,MAE,R2,sMAPE,n
hybrid8_masked_transformer,Hybrid8 + mask + Transformer,43.0,24,78.52449035644531,45.40452575683594,0.4176492922218654,49.65840530395508,4569
hybrid8_masked_transformer,Hybrid8 + mask + Transformer,43.0,72,82.89599609375,51.05194854736328,0.3514946973951564,53.61931228637695,4566
hybrid8_masked_transformer,Hybrid8 + mask + Transformer,44.0,6,68.89082336425781,34.65668487548828,0.4352574134604802,46.50847625732422,4459
hybrid8_masked_transformer,Hybrid8 + mask + Transformer,44.0,24,78.06888580322266,44.19427490234375,0.42438733146426943,49.21358871459961,4569
hybrid8_masked_transformer,Hybrid8 + mask + Transformer,44.0,72,81.57953643798828,48.45491027832031,0.3719288052019324,58.45308303833008,4566
hybrid8_masked_proposed,Hybrid8 + mask + MAT,42.0,6,68.5703353881836,35.57925033569336,0.4404996935865384,49.26649475097656,4459
hybrid8_masked_proposed,Hybrid8 + mask + MAT,42.0,24,79.3816909790039,45.57688903808594,0.40486551372081847,50.91105270385742,4569
hybrid8_masked_proposed,Hybrid8 + mask + MAT,42.0,72,81.60518646240234,50.1436882019043,0.371533787452176,57.73731994628906,4566
hybrid8_masked_proposed,Hybrid8 + mask + MAT,43.0,6,67.93289947509766,36.664493560791016,0.45085375725029975,49.29961013793945,4459
hybrid8_masked_proposed,Hybrid8 + mask + MAT,43.0,24,79.75175476074219,50.9005126953125,0.39930375606434276,55.35246658325195,4569
hybrid8_masked_proposed,Hybrid8 + mask + MAT,43.0,72,83.52516174316406,54.49370574951172,0.3416132597653423,58.894474029541016,4566
hybrid8_masked_proposed,Hybrid8 + mask + MAT,44.0,6,68.47445678710938,34.99525451660156,0.4420633042419344,46.07920837402344,4459
hybrid8_masked_proposed,Hybrid8 + mask + MAT,44.0,24,77.1106185913086,44.192657470703125,0.4384314795822355,49.290191650390625,4569
hybrid8_masked_proposed,Hybrid8 + mask + MAT,44.0,72,80.55179595947266,48.02086639404297,0.3876540335669185,56.83717727661133,4566
hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,42.0,6,68.21814727783203,34.66586685180664,0.4462323633460542,48.865230560302734,4459
hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,42.0,24,77.56836700439453,44.24008560180664,0.4317444967401626,49.33221435546875,4569
hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,42.0,72,79.93024444580078,48.27574920654297,0.3970675760617921,55.62214279174805,4566
hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,43.0,6,68.27398681640625,36.62910842895508,0.4453253453409409,49.90343475341797,4459
hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,43.0,24,78.85712432861328,49.86537170410156,0.4127050482914999,55.30394744873047,4569
hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,43.0,72,82.25504302978516,53.08611297607422,0.36148447967985875,57.85857009887695,4566
hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,44.0,6,67.91458129882812,34.29865646362305,0.45114981638142626,46.364994049072266,4459
hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,44.0,24,75.6410140991211,43.24842071533203,0.45963261881382467,50.8159294128418,4569
hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,44.0,72,79.38663482666016,46.870994567871094,0.40524075620848765,57.268463134765625,4566
hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,42.0,6,68.65132904052734,36.67779541015625,0.4391772214122005,49.55657196044922,4459
hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,42.0,24,79.59484100341797,46.30196762084961,0.40166520759739077,50.67798614501953,4569
hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,42.0,72,81.13565063476562,49.02984619140625,0.3787450935910147,56.21320724487305,4566
hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,43.0,6,69.33045959472656,38.22154235839844,0.42802646139900247,48.815059661865234,4459
hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,43.0,24,79.16012573242188,49.78418731689453,0.4081831048707558,52.84700393676758,4569
