model,seed,pollutant,horizon,RMSE,MAE,R2,sMAPE,n
gru_d,43.0,SO2,24,25.411500930786133,6.084280967712402,0.07344532206231746,58.20646286010742,3948.0
gru_d,43.0,SO2,72,26.187299728393555,6.5902018547058105,0.04628357660998683,62.536346435546875,3950.0
gru_d,44.0,PM2.5,6,68.7901840209961,35.179344177246094,0.4369062605377997,44.86935043334961,4459.0
gru_d,44.0,PM2.5,24,77.38088989257812,42.3939323425293,0.43448798243957487,45.82394027709961,4569.0
gru_d,44.0,PM2.5,72,80.67121887207031,46.592594146728516,0.38583701805747006,49.55257034301758,4566.0
gru_d,44.0,PM10,6,85.42313385009766,49.4553108215332,0.4950348363044269,43.881290435791016,3707.0
gru_d,44.0,PM10,24,107.58663940429688,69.5230484008789,0.5424383518538887,42.938236236572266,3807.0
gru_d,44.0,PM10,72,117.85739135742188,78.25926971435547,0.4521673484056863,47.674068450927734,3797.0
gru_d,44.0,NO2,6,13.233257293701172,4.702863693237305,0.6389373412052926,65.93475341796875,3702.0
gru_d,44.0,NO2,24,15.485283851623535,6.203989505767822,0.6020627138804,68.59769439697266,3819.0
gru_d,44.0,NO2,72,16.70168685913086,6.910053253173828,0.5289262286351197,73.47673034667969,3817.0
gru_d,44.0,O3,6,8.1226167678833,4.657118797302246,0.7863438357908966,66.38999938964844,3633.0
gru_d,44.0,O3,24,11.973522186279297,5.762099742889404,0.6059382056461893,64.55955505371094,3639.0
gru_d,44.0,O3,72,13.223188400268555,6.586668968200684,0.5107543330745226,70.19509887695312,3633.0
gru_d,44.0,CO,6,1.888525128364563,0.6596508026123047,0.5121796080052932,35.82524490356445,3950.0
gru_d,44.0,CO,24,2.057140350341797,0.8018284440040588,0.4127395820415033,38.655635833740234,4017.0
gru_d,44.0,CO,72,2.2509992122650146,0.9407019019126892,0.28330657218197386,43.78559112548828,4021.0
gru_d,44.0,SO2,6,24.632638931274414,4.892147541046143,0.11603006362580526,56.890892028808594,3871.0
gru_d,44.0,SO2,24,25.36074447631836,6.192762851715088,0.07714296539619692,58.84157943725586,3948.0
gru_d,44.0,SO2,72,26.144838333129883,6.680546283721924,0.0493739542689241,63.15837097167969,3950.0
dlinear,42.0,PM2.5,6,69.72543334960938,35.858116149902344,0.4214908506680305,50.113372802734375,4459.0
dlinear,42.0,PM2.5,24,80.3437271118164,45.30723190307617,0.3903530936623256,50.3296012878418,4569.0
dlinear,42.0,PM2.5,72,83.05587768554688,50.81016540527344,0.34899074122377294,54.183143615722656,4566.0
dlinear,42.0,PM10,6,84.884521484375,52.26144790649414,0.5013825577815516,47.332305908203125,3707.0
dlinear,42.0,PM10,24,108.55509948730469,74.08171081542969,0.534163621072862,46.28262710571289,3807.0
dlinear,42.0,PM10,72,119.1725082397461,81.71499633789062,0.43987311136824914,51.24108123779297,3797.0
dlinear,42.0,NO2,6,12.971513748168945,4.318975925445557,0.6530791945037843,65.97588348388672,3702.0
dlinear,42.0,NO2,24,13.929239273071289,5.6017937660217285,0.6780183989424242,87.0586929321289,3819.0
dlinear,42.0,NO2,72,15.285347938537598,6.300991535186768,0.6054346961662312,87.46673583984375,3817.0
dlinear,42.0,O3,6,8.644302368164062,4.2372636795043945,0.7580178189353096,60.60476303100586,3633.0
dlinear,42.0,O3,24,12.442159652709961,5.648370742797852,0.5744878181792775,82.06690216064453,3639.0
dlinear,42.0,O3,72,13.203595161437988,6.5901780128479,0.5122031277753363,82.08992767333984,3633.0
dlinear,42.0,CO,6,1.3561885356903076,0.545174777507782,0.7484325108225196,33.35142135620117,3950.0
dlinear,42.0,CO,24,1.996672511100769,0.7311986684799194,0.446756180171174,34.96575164794922,4017.0
dlinear,42.0,CO,72,2.555298089981079,0.8996349573135376,0.07643832629248593,39.73073196411133,4021.0
dlinear,42.0,SO2,6,18.72783088684082,4.570719242095947,0.48903568855947355,66.73211669921875,3871.0
dlinear,42.0,SO2,24,22.09758186340332,6.194912910461426,0.29935187661123386,58.879608154296875,3948.0
dlinear,42.0,SO2,72,27.44186782836914,7.372203350067139,-0.047285594817601195,65.68008422851562,3950.0
dlinear,43.0,PM2.5,6,70.34458923339844,36.79807662963867,0.4111709989932816,49.0059928894043,4459.0
dlinear,43.0,PM2.5,24,82.7492904663086,49.63178634643555,0.3532998309640407,52.05181884765625,4569.0
dlinear,43.0,PM2.5,72,84.02713775634766,51.811248779296875,0.33367590802617697,56.79430389404297,4566.0
dlinear,43.0,PM10,6,82.48591613769531,47.66065979003906,0.5291636397197266,44.673954010009766,3707.0
dlinear,43.0,PM10,24,108.14682006835938,74.08364868164062,0.5376610836410494,46.45016098022461,3807.0
dlinear,43.0,PM10,72,121.45980834960938,81.10091400146484,0.4181655161238722,50.48313903808594,3797.0
dlinear,43.0,NO2,6,13.025896072387695,4.536071300506592,0.6501642118717786,72.0232162475586,3702.0
dlinear,43.0,NO2,24,14.301370620727539,5.484805583953857,0.6605845628825351,74.54864501953125,3819.0
dlinear,43.0,NO2,72,15.219372749328613,6.440596103668213,0.6088334275159449,95.96263885498047,3817.0
dlinear,43.0,O3,6,9.110706329345703,4.651793956756592,0.7312010589031891,74.51333618164062,3633.0
dlinear,43.0,O3,24,12.820369720458984,6.508416652679443,0.5482256474052991,98.54173278808594,3639.0
dlinear,43.0,O3,72,13.617639541625977,6.576877593994141,0.4811303852654045,79.26512145996094,3633.0
dlinear,43.0,CO,6,1.3567134141921997,0.585554301738739,0.7482377159524571,41.87410354614258,3950.0
dlinear,43.0,CO,24,2.0197832584381104,0.7743829488754272,0.43387494495876244,36.506351470947266,4017.0
dlinear,43.0,CO,72,2.6361074447631836,0.9514989852905273,0.01710077763410356,43.64762496948242,4021.0
dlinear,43.0,SO2,6,18.859556198120117,4.686656475067139,0.48182246194908884,62.60367202758789,3871.0
dlinear,43.0,SO2,24,22.88620948791504,6.595268726348877,0.24844944938314617,62.687828063964844,3948.0
dlinear,43.0,SO2,72,28.235803604125977,7.7259955406188965,-0.10876148912369255,67.47511291503906,3950.0
dlinear,44.0,PM2.5,6,71.45872497558594,37.24907684326172,0.39237127085316803,50.93709182739258,4459.0
dlinear,44.0,PM2.5,24,79.59977722167969,44.884010314941406,0.40159095877553275,48.82069396972656,4569.0
dlinear,44.0,PM2.5,72,83.58064270019531,49.85798645019531,0.340738359108834,53.9351806640625,4566.0
dlinear,44.0,PM10,6,84.88379669189453,49.57685470581055,0.501391107529924,46.17671203613281,3707.0
dlinear,44.0,PM10,24,107.7493667602539,72.32971954345703,0.5410531313932134,46.55593490600586,3807.0
dlinear,44.0,PM10,72,119.9970474243164,82.1238021850586,0.43209534513167713,50.847042083740234,3797.0
dlinear,44.0,NO2,6,13.286378860473633,4.488192558288574,0.6360327664905443,69.58867645263672,3702.0
dlinear,44.0,NO2,24,14.702681541442871,5.6103973388671875,0.64126858473409,71.67828369140625,3819.0
dlinear,44.0,NO2,72,15.386356353759766,6.331555366516113,0.6002027221263436,89.29527282714844,3817.0
dlinear,44.0,O3,6,9.353803634643555,5.059080600738525,0.7166651791927017,94.76677703857422,3633.0
dlinear,44.0,O3,24,12.10205364227295,5.78181791305542,0.5974325667081721,76.4001693725586,3639.0
dlinear,44.0,O3,72,13.776421546936035,6.895105361938477,0.46895974923114914,89.35964965820312,3633.0
dlinear,44.0,CO,6,1.3971670866012573,0.5587213039398193,0.7330001108475972,34.336097717285156,3950.0
dlinear,44.0,CO,24,2.0674657821655273,0.7962895631790161,0.4068294722262219,39.061824798583984,4017.0
dlinear,44.0,CO,72,2.633330821990967,1.0601438283920288,0.019170332627221898,46.068416595458984,4021.0
dlinear,44.0,SO2,6,19.43343162536621,4.8647565841674805,0.4498075532027799,64.09063720703125,3871.0
dlinear,44.0,SO2,24,23.35149383544922,6.4654412269592285,0.2175803605493003,61.58539581298828,3948.0
dlinear,44.0,SO2,72,27.888587951660156,7.52965784072876,-0.0816602589667823,67.87548828125,3950.0
patchtst,42.0,PM2.5,6,73.75836181640625,41.526973724365234,0.3526333784547304,55.308013916015625,4459.0
patchtst,42.0,PM2.5,24,84.71846771240234,50.46841812133789,0.3221547239614012,58.00927734375,4569.0
patchtst,42.0,PM2.5,72,88.14070129394531,53.030418395996094,0.2668389543719776,59.39152908325195,4566.0
