model,seed,pollutant,horizon,RMSE,MAE,R2,sMAPE,n
lstm,42.0,O3,24,15.692821502685547,7.385908126831055,0.3231030568701496,70.38520050048828,3639.0
lstm,42.0,O3,72,16.54482650756836,8.003149032592773,0.23408773540266414,73.99308776855469,3633.0
lstm,42.0,CO,6,2.0846691131591797,0.8128523826599121,0.40558648895612337,44.508914947509766,3950.0
lstm,42.0,CO,24,2.2989189624786377,1.0136394500732422,0.2665843314076941,46.61067581176758,4017.0
lstm,42.0,CO,72,2.410620927810669,1.0726076364517212,0.17805902082560565,49.534942626953125,4021.0
lstm,42.0,SO2,6,24.48842430114746,5.0647382736206055,0.12635043946440816,61.24675750732422,3871.0
lstm,42.0,SO2,24,25.901662826538086,6.879773139953613,0.037355956048780614,66.67816925048828,3948.0
lstm,42.0,SO2,72,26.647968292236328,7.151708602905273,0.012434303068786345,68.07303619384766,3950.0
lstm,43.0,PM2.5,6,68.6856689453125,35.092559814453125,0.4386160593958558,44.60459518432617,4459.0
lstm,43.0,PM2.5,24,78.0668716430664,43.179141998291016,0.4244169731153119,46.459312438964844,4569.0
lstm,43.0,PM2.5,72,81.09156799316406,46.818912506103516,0.37942004648113836,49.864585876464844,4566.0
lstm,43.0,PM10,6,85.50372314453125,50.78898620605469,0.49408159536363205,46.32063674926758,3707.0
lstm,43.0,PM10,24,114.18508911132812,77.00836944580078,0.4845913277747854,47.75076675415039,3807.0
lstm,43.0,PM10,72,122.41107177734375,82.52362060546875,0.40901607297550513,50.44286346435547,3797.0
lstm,43.0,NO2,6,14.196287155151367,5.363997936248779,0.5844736152335708,72.917236328125,3702.0
lstm,43.0,NO2,24,16.181678771972656,6.76797342300415,0.565466345500474,75.7679672241211,3819.0
lstm,43.0,NO2,72,17.212636947631836,7.2561445236206055,0.4996625353516617,79.03549194335938,3817.0
lstm,43.0,O3,6,13.23365592956543,6.88084077835083,0.43286929716688016,73.3193130493164,3633.0
lstm,43.0,O3,24,15.6364164352417,7.556767463684082,0.3279602725090158,70.50389862060547,3639.0
lstm,43.0,O3,72,16.433218002319336,8.204822540283203,0.24438636579153972,73.52821350097656,3633.0
lstm,43.0,CO,6,2.1822991371154785,0.8900085687637329,0.3486071718733589,45.9653205871582,3950.0
lstm,43.0,CO,24,2.2936604022979736,0.9983668923377991,0.26993572370978813,44.70893859863281,4017.0
lstm,43.0,CO,72,2.3956782817840576,1.068000078201294,0.1882172428839166,47.14128494262695,4021.0
lstm,43.0,SO2,6,25.072481155395508,5.001977443695068,0.08417980819676207,59.551273345947266,3871.0
lstm,43.0,SO2,24,25.76323890686035,6.5850605964660645,0.04761769769730484,63.118629455566406,3948.0
lstm,43.0,SO2,72,26.462247848510742,7.00372314453125,0.026151759812081066,66.65788269042969,3950.0
lstm,44.0,PM2.5,6,67.93905639648438,35.28629684448242,0.4507541101621776,45.79417419433594,4459.0
lstm,44.0,PM2.5,24,78.14180755615234,43.561397552490234,0.4233115503716245,46.618675231933594,4569.0
lstm,44.0,PM2.5,72,81.8331527709961,47.74863052368164,0.36801769130561635,50.386627197265625,4566.0
lstm,44.0,PM10,6,88.09113311767578,54.73949432373047,0.46299933983995323,48.1844596862793,3707.0
